column0,column1,column2,column3,column4,column5,column6,column7,column8,column9
"MCA and Gerakan should not celebrate too early, as MCA and Gerakan candidates may get more serious whacking from the voters if DAP and Rocket logo are banned in 14GE",07/05/17,1 Comment,"{Bigjoe}{6 July 2017}{12:13 am} There is a bigger question of what this means. The extremist acts BN continue to pursue despite its dubious result proves their base voters are UMNO extremists. UMNO, MCA, Gerakan depend on the hardcore racist UMNO voters as their base and on their current desperation, when everything else fails, their only option is to continue to appeal to those UMNO extremist to keep them in power.",,,,,,
"Three questions whether the country will have an illegal and unconstitutional  Chief Justice  swirling in the minds of judges, lawyers, legislators and informed Malaysians",07/05/17,2 Comments,{worldpress}{5 July 2017}{11:22 pm} They protecting to steal money without transparent account to trace!,{Bigjoe}{7 July 2017}{9:12 am} The Judiciary is a joke. The ruling on travel ban of Tony Pua proves it.,,,,,
Cabinet meeting tomorrow should send all Cabinet Ministers for re-education as Salleh’s blog is  a shocking revelation of the abysmal educational standards of Malaysian Ministers,07/04/17,3 Comments,"{ezraanne ezra}{4 July 2017}{5:17 pm} This is what happens when they are handpicked by the PM himself. Their qualification, educational background, level of mentality, all do not matter.  When you work for Najib and UMNO you don’t need to fuss yourself – just be his buttlicker and clean up his mess.",{ezraanne ezra}{4 July 2017}{6:19 pm} I am not shocked at Najib’s cabinet ministers’ wretched standard of education.  It’s already their hallmark.  No shock at all.  More so to be with Najib is to be dumber than big boss.  Or at least pretend to be.  Now no money no talk goes both ways.,"{Bigjoe}{4 July 2017}{6:30 pm} Well, they lie about our own history, so getting other history wrong is sort off natural..",,,,
What do Malaysians think about a Cabinet Minister who can blog the following?,07/03/17,7 Comments,"{bruno}{3 July 2017}{7:45 pm} About the heading,if anyone could,they would have done it ions ago.The problem is that there is no one smart enough with brains.Not even the smart chap who graduated from Oxford.This is a fact.","{Bigjoe}{3 July 2017}{8:14 pm} Well, it’s a bit cool to be compared to Che Guevara, Lenin, Robiesperre….Too bad it makes absolute no sense.","{Sallang}{3 July 2017}{10:42 pm} YB Lim, don’t need to correct him lah!. His favourite history books are, Upin and Ipin, maybe.
They dont talk sense, or facts.",{undertaker888}{4 July 2017}{11:40 am} The fat man of Manchester is throwing rubbish from the bottom of the pile now. He wrote like LKS is in power at that time and is responsible for the forex lost. Those who were in power at that time and did nothing the fat man did not say anything. Haha. Fatman thinks we are stupid but then probably what he wrote is for the rural Malays Bcos he thinks they are gullible.,{undertaker888}{4 July 2017}{11:45 am} Keruak is writing from his ketiak. Wonder where he got his degree from. Probably from pasar malam. What is next? Mickey mouse and Donald duck are dictators at the same time line in US?,"{SuperStringhg}{4 July 2017}{12:39 pm} Whether a man has substance, look at his writings and speeches. Obviously this Salleh Said Keruak is truly an empty vessel making a lot of noises. hahahha",{good coolie}{8 July 2017}{3:11 pm} Graduate of Trump University of Alternative Facts?
"A major failure by UMNO “demonizers” as  their black propaganda that  DAP is anti-Malay and anti-Islam getting no traction among ordinary Malays and Muslims in East Coast simply because they are lies, fake news and false information",07/03/17,1 Comment,{Bigjoe}{3 July 2017}{7:30 pm} UMNO failure is one thing we have gotten used to for a long time already but what if a more technically knowledgeable PAS leader ALSO IS WRONG to discredit Pakatan? ,,,,,,
"DAP leaders,members, branches and supporters should be prepared for UMNO/BN’s ultimate dirty tactics before the 14GE – ban the DAP  and disallow the use of Rocket logo on the flimsiest of grounds",07/03/17,2 Comments,"{ezraanne ezra}{3 July 2017}{2:47 pm} Sariffuddin and the rest of UMNO’s lowly creatures have given UMNO a clear label – an organization that represents people with the meanest, most wicked and blackest hearts and souls.  If this is their version of Malay and Islam..it’s no wonder Malaysians Malay and Moslems are pulling away from their abusive molester rapist ‘parents’.","{SuperStringhg}{4 July 2017}{12:58 pm} Evils cannot win; History has proven this many many times…
Adolf Hitler (1889 – 1945) Nazis Germany
Joseph Stalin (1878 – 1953) Soviet Union
Pol Pot (1925 – 1998) Cambodia
Idi Amin (1925 – 2003) Uganda
Augusto Pinochet (1915 – 2006) Chile
Francois Duvalier (1907 – 1971) Haiti
Francisco Franco (1892 – 1975) Spain
Saddam Hussein (1937 – 2006) Iraq
Charles Taylor (1948 – ) Liberia
Ferdinand Marcos ( 1917 – 1989) Philippines
Suharto (1921 – 2008) Indonesia",,,,,
"I weep for Najib – with 1MDB billions, can’t he find  smarter and more intelligent propagandists, publicists and cybertroopers?",07/02/17,4 Comments,"{SuperStringhg}{2 July 2017}{12:36 pm} Kit Siang must send to Najib a bill for correcting his UMNO propagandists poor English. However, do not accept money from 1mdb …haram la!","{Godfather}{2 July 2017}{12:45 pm} It simply proves they are hurting. The constant barrage of news on 1MDB, from near and far, is making the den of thieves uneasy. Keep it up, Kit. Truth will always prevail.","{Bigjoe}{2 July 2017}{2:40 pm} Rather than weep, be very very scared. The weaker Najib’s UMNO gets, the more the fall closer to the clutches of Hadi’s PAS and even worst desperadoes who will resort to anything. A mass purge of the opposition and total fake and fraudulent election is being planned as they get more desperate.","{good coolie}{3 July 2017}{11:48 am} Hey, who are the double dictators? One must be you, Saudara Lim; but the other? Is it Mahatir?  Is it the CM of Penang? CM of Selangor, perhaps? Correct me if I am wrong: all these fellows are, or at least were, elected officials!",,,
Three instances where Hadi and his hardline mainstream leaders in PAS were caught  red-handed as foremost apologists for UMNO   kleptocracy and emulating  UMNO propaganda campaign of demonization against DAP and Pakatan Harapan,07/01/17,2 Comments,{Bigjoe}{2 July 2017}{3:25 am} Hadi’s PAS became UMNO’s apologist when they broke with Pakatan Rakyat by LYING that DAP is the one who broke the Pakatan agreement.,{Godfather}{2 July 2017}{9:52 am} Whilst I have no problem in holding out a small sliver of hope that PAS could eventually ditch their romance with UMNO (keeping options open at the last minute) we have no more than 9 months to go before the next GE. Possibly less. So the Pakatan folks better decide soon and bite the bullet. The deluge of news on 1MDB and the payments out of Bijan’s account are taking a toll on the den of thieves. Keep hammering home the news. The dam may just break.,,,,,
"Zeti, helpless, says central bank imposed highest fines in history on 1MDB",07/01/17,2 Comments,"{Godfather}{2 July 2017}{9:33 am} She is so lame !  How much was the “highest administrative fine in the history of the country” ?  RM 5 million ? Which 1MDB quickly paid, no doubt out of taxpayers’ money. Her people wanted more action taken, the AG disagreed. Her people appealed, and it was again rejected by the AG. At that point, I would have expected someone with a spine to resign. But she didn’t. No conviction of righteousness. Why ? Afraid of losing her pension ?","{Bigjoe}{2 July 2017}{11:30 am} That a Malaysian elite, even the best, will fail them, let them down says a lot about our society values. We may lament how they fail us, but fact is we know it’s the exception that will do even just most of what we want. We do have a class problem, in fact all of Asia does.",,,,,
Gerakan to file injunction to stop Penang undersea tunnel and three road projects.,07/01/17,1 Comment,{undertaker888}{1 July 2017}{3:20 pm} Can’t blame them. They are used to reward big contracts to one dollar companies.,,,,,,
Call on Kelantan voters to “kill two birds with one stone” by voting to  change two governments – state and federal – in the 14th General Election,07/01/17,2 Comments,"{Bigjoe}{1 July 2017}{8:43 am} The issue in Kelantan as well as any community of PAS supporters, is this: How is it possible, Kelantan  went from decade as fortress of PAS with highest vote ever with Pakatan Rakyat, to now on the verge of losing and probably worst ever performance in PAS history?","{Bigjoe}{1 July 2017}{3:00 pm} Put it another way, Faith is about what you think and feel, not what you know. Government is based on largely what you know.  Hadi’s PAS knows faith NOT knowledge. They DO NOT have a plan of government, just a guess.",,,,,
"The warong visits at Pasir Puteh, Ketereh and Machang  proved me right that ordinary Malaysians, whether Malays, Chinese or Indians, want harmony, tolerance, goodwill, solidarity and unity and not lies, distrust, suspicion, hatred and extremism",07/01/17,1 Comment,{Bigjoe}{1 July 2017}{6:26 am} There is no issue of race AND religion in the coming GE. Why do the ursurpers of PAS behind Hadi Awang believe they can lose Kelantan and the need slander Husam Musa? ,,,,,,
Pakatan Harapan should aim to achieve a “double whammy” in five states in the 14 GE – winning five new state governments as well as the federal government in one go,06/30/17,2 Comments,"{Bigjoe}{30 June 2017}{9:38 pm} Well, it seems those in PAS who wishes to be closer to UMNO also believes PAS will lose Kelantan, slandering Husam as DAP stooge.","{Bigjoe}{30 June 2017}{9:50 pm} IT is plain clear Hadi Awang is just a fool. The real culprit of all Pakatan troubles is the young bucks supporting Hadi who has hatched a conspiracy to get closer to UMNO, even if it destroy PAS itself.PAS and therefore Pakatan are just victims of these ursurpers",,,,,
"1MDB’s RM56 million since 2011 to sponsor 5,711 pilgrims is only .01% of the total 1MDB debts of some RM50 – 55 billion",06/30/17,1 Comment,"{good coolie}{30 June 2017}{1:04 pm} Hello, Mr. Wan Emdibi, masuk 55 billion dalam Bank di Singapura pun boleh dapat untung sekurang-kurangnya 5%. Hang kira lah berapa wang yang boleh dicarikan setahun itu.",,,,,,
Hope Husam Musa will become the new Kelantan Mentri Besar after the 14th General Election who will become a new role model not only for Kelantanese but Malaysians in other states as well,06/29/17,1 Comment,"{Bigjoe}{29 June 2017}{8:16 pm} If the Kelantanese can do this, then they will send reverberation not just throughout this country but also through all Muslim world even beyond.",,,,,,
Will PAS rank-and-file  endorse the Hadi mainstream PAS  leadership position to help Najib overcome the national and global kleptocratic storm arising from the international  multibillion dollar 1MDB money-laundering scandal so that Najib could continue  as PM after 14GE?,06/29/17,3 Comments,"{Godfather}{29 June 2017}{12:16 pm} PAS has come out with conflicting statements on 1MDB, which either shows the right hand doesn’t know what the left hand is saying, or shows they are deliberately out to confuse the rakyat. I think it is the latter. You cannot say you want an RCI but you don’t press for it. You want things done your way, but you don’t say what they are.",{Godfather}{29 June 2017}{12:26 pm} Only those who were not recipients of 1MDB dedak can go for the roadshows. Those who received the dedak are obligated to defend Bijan at all costs.,{Bigjoe}{29 June 2017}{3:13 pm} This came from a Pyschologist Handbook:,,,,
"Hadi boasts that PAS can win five states of Kelantan, Terengganu, Pahang, Kedah and Selangor in next general elections when in fact, PAS will be fighting for its political life to retain power in Kelantan State Government",06/29/17,2 Comments,"{Bigjoe}{29 June 2017}{7:32 am} One of the best line I have ever heard “She has faith. That is a great thing to have but faith is what you think and feel, not what you know”.",{good coolie}{30 June 2017}{1:17 pm} Good luck to your road show Mr. Lim. I suppose you will be saying some nice things about someone it is difficult to say nice things about. “Misery makes strange bed-fellows.”,,,,,
14th General Election should be held  in the seven months between October – May and is an opportunity for Malaysians to  save the nation and wipe out the country’s infamy and ignominy of being regarded worldwide  as a global kleptocracy,06/28/17,2 Comments,"{Bigjoe}{29 June 2017}{7:09 am} Then its time to put the proper perpective of the next GE up front and push it out as far and as loud as possible.
1. THERE IS NO ISSUE OF RACE AND RELIGION. If there is racial angle, its Malay Vs. Malay – the leadership of pro-govt, UMNO/BN and Hadi’s PAS is Malay and the  OPPOSITION ARE MALAY.. If there is an issue of religion, its the kind of Islam to be practised – the  theocratic state that has already failed in Iran and elsewhere which is no cure for corruption or social ills or a modern social democratic one that is even Saudis and Iran now see they must move to. Voting for UMNO/BN is the same as voting for PAS and Vice Versa. There is no difference. ","{good coolie}{30 June 2017}{1:22 pm} Yep, Pulau Pinang and Selangor are good examples of well-run States. Imagine if the whole country were under Pakatan! ",,,,,
"The highly-expensive UMNO/BN Strategic Communications machinery completely went haywire, even sabotaging Rosmah’s propaganda campaign, as a result of US DOJ’s kleptocratic suits expanding their forfeiture targets from US$3.5 billion to US$4.5 billion 1MDB money-laundering scams",06/28/17,3 Comments,"{ezraanne ezra}{28 June 2017}{1:40 pm} They have gone beserk, system haywire – one of the signs and symptoms  that death is nearing for Umno Bn.","{Bigjoe}{28 June 2017}{2:13 pm} They are definitely out of control. BUT so has Hadi Awang but still Pakatan, even Amanah, handle him with kid glove. ","{good coolie}{28 June 2017}{10:42 pm} Ada Ah Mo1dan Mrs Ah Mo1, ada Ah Po1(Penang Official No.1). Keh, keh, keh! Ada pun Pink Panther Necklace. Oh My Malaysia!",,,,
"Apandi has exceeded his powers and  jurisdiction  as Attorney General and usurped the powers of the Cabinet, in particular the Foreign Minister, when he pronounced the US DOJ kleptocratic  action as “politically motivated”",06/28/17,1 Comment,"{Bigjoe}{28 June 2017}{4:18 pm} Malaysian AG is only accountable to MO1, cannot be removed by anyone else. His actions and inactions then are all at the pleasure of MO1, not only reflects the wishes of MO1, IT IS THE WISHES OF MO1. So if its what M01 doing it, how does it exceed and ursurped the power of the Cabinet when HE IS BIGGER not only the Cabinet, but EVERYONE???",,,,,,
Malaysian Reactions to DOJ Lawsuits Reflect Ignorance and Corrupted Concept of Justice,06/27/17,2 Comments,"{Godfather}{27 June 2017}{5:29 pm} I think they will now stick to their claim that the DOJ actions are politically-motivated and egged on by some unknown traitors from Bolehland. Especially since Miranda Kerr have returned her jewels, and the wife of MO1 is under pressure to do the same.","{good coolie}{1 July 2017}{12:55 am} What does it matter who helps us to catch wrong-doers? If Americans help us to take back the Pink Panther, well and good! Hello, Kawan kalau sudah kalah, mengaku sahaja lah dan minta ma’af atas segala kesilapan.",,,,,
"With American actor Leonardo DiCaprio and Australian supermodel Miranda Kerr handing over their multi-million dollar 1MDB-linked gifts from Jho Low to DOJ, all eyes are now on “wife of MALAYSIAN OFFICIAL 1”",06/27/17,2 Comments,"{Godfather}{27 June 2017}{12:37 pm} Let’s hear from the sycophants surrounding the wife of MO1. Dahlan will probably say that he was misquoted in naming MO1, so nobody knows who’s really the “wife of MO1”. Keruak will probably say the pink diamond was bought with her savings since she was young.",{good coolie}{27 June 2017}{1:24 pm} Hadi has long term objectives. support Ah Mo1 and Waifof Ah Mo1 now so that increased penalties for offences in line with Hudud can be implemented with Najib’s blessing. Who cares about the Pink Panther! ,,,,,
Miranda Kerr gives up $A11m in jewellery,06/27/17,1 Comment,{Godfather}{27 June 2017}{12:13 pm} Is the “wife of Malaysian Official 1” prepared to give up her pink diamond and other jewelry ? Or will the ministers now rush to her defence and claim that she is not the “wife of MO1” ?,,,,,,
The Cabinet should save the nation and Najib  from further embarrassment as well as avert snowballing public protests by vetoing  the Prime Minister’s appointment of Isa as SPAD Acting Chairman,06/27/17,1 Comment,"{Bigjoe}{27 June 2017}{9:47 am} At this point, Najib would also like to drop Isa but he need all the political machinery he can get and Isa command a big corrupt machine. If even only some of that machinery break rank, turn on him for their short term gains, he would be even more hot soup.",,,,,,
Malaysia’s greatest political scandal: The 1MDB scandal that refuses to die,06/27/17,1 Comment,{Bigjoe}{27 June 2017}{6:38 am} It sounds like ” foreign interference” is far from over..,,,,,,
Call for the  report of the Special Task Force on Bank Negara forex losses in early 1990s  to be made public,06/26/17,3 Comments,"{Bigjoe}{26 June 2017}{12:05 pm} The real basic rationale behind the RCI on BNM forex scandal is for Najib, “if you cannot win, I win”.   In other words, the primary goal is to taint Mahathir and lessen the vote for him/Bersatu/Pakatan, thereby defaulting into a win for Najib and UMNO. The action is crude, bullying, cynical of the masses. Its arrogance and over entitlement of elite and privilleges of mediocre in power.","{SuperStringhg}{26 June 2017}{1:12 pm} This situation is like if there is another plane got missing, instead of investigating this latest episode, the brilliant cabinet decided to have RCI on MH370! Above sound stupid but that’s exactly what they are doing by opening the Bank Negara forex losses a quarter of a century ago while the billions losses by 1MDB is ignored!",{good coolie}{27 June 2017}{1:33 pm} They are seeking to hang that old man on a hook. They think they can intimidate him into letting go of that vice-grip on Najib’s calf. These New-UMNO blokes don’t know Mahatir. ,,,,
"Syed Saddiq is responsible for the intensity of the UMNO propaganda campaign, even roping in PAS President and several state muftis, to ensure Malaysians do not focus on Rosmah’s US$27.3 million pink diamond necklace but on the fairy tale of foreign intervention during the Hari Raya holidays",06/25/17,1 Comment,"{Bigjoe}{25 June 2017}{8:32 pm} The issue is why Hadi is making the fairy tale? It’s not the first time. In fact, a bigger lie is still about breaking up with Pakatan, because of DAP, to ensure Malay Muslim rule.  ",,,,,,
Zeti says Bank Negara powerless to act against 1MDB,06/25/17,1 Comment,{SuperStringhg}{25 June 2017}{8:14 pm} She has no reputation after 1mdb scandal.,,,,,,
Hadi has become  greater champion and  defender of Najib and 1MDB scandal than anyone else in UMNO,06/24/17,3 Comments,{yhsiew}{24 June 2017}{6:03 pm} Only idiotic people cannot differentiate between thieves and foreign affair interveners.,{Bigjoe}{24 June 2017}{6:21 pm} Hadi is an over entitled religo jerk just as Najib is an over entitled mediocre elitist.,"{undertaker888}{25 June 2017}{9:43 pm} When horses run, the trampling sound they make is “dedak dedak dedak dedak”",,,,
"Kembali kepada fitrah manusia yang saling berkasih sayang, hormat menghormati, bertoleransi dan menolak politik kebencian serta mengadu domba, demi menyelamatkan Malaysia",06/24/17,1 Comment,"{Bigjoe}{24 June 2017}{11:56 am} Frankly do not hope for the bigger nature of Malaysian BUT what is not understanable is MILLIONS of UMNO members, thousands of UMNO leaders do not have the basic instinct and skills for self-survival. It proves the vote is not between Najib’s UMNO or Pakatan or PAS but truth is a vote for lowest common denominator of UMNO/BN and Hadi’s PAS. That the millions in UMNO and hundred thousands in PAS have surrendered – to racism and and blind religo-faith – at the expense of their own self-survival..",,,,,,
Cabinet should remember the historic advice  of the Rulers in October 2015 to be transparent and truthful in investigations into the 1MDB scandal and should  expand the Cabinet  decision to enlarge the scope of RCI to inquire not only into Bank Negara forex losses but also into  1MDB scandal,06/23/17,2 Comments,"{Bigjoe}{23 June 2017}{7:45 pm} The question the Cabinet should ask Najib is, they already knew DOJ was investgating BUT instead of hiding the money, they continued to indulge in excesses and worst, most of the activities were even in US easily discoverable.","{Bigjoe}{23 June 2017}{8:23 pm} Then, there is the issue of the GE. They were doing all these things that are discoverable and Najib is in no hurry to have election.  Even now, he pushing it to next year when he can do it now, things are not going to get better.",,,,,
DAP condemns the politics and mentality of kafir against  a Malacca MCA State Exco and calls on moderates in Malaysia to strengthen national resilience against all forms of extremism in the face of threat of  Islamic State of East Asia to spread fanaticism,06/23/17,4 Comments,"{bruno}{23 June 2017}{8:05 am} We still have uncivilized people as neighbors.Everywhere it is the leaders who are responsible for all these uncouth behaviors.In the US,they have the rabble rouser,and uncouth POTUS,Donald Trump.","{Bigjoe}{23 June 2017}{10:12 am} To correct Samuel Johnson, Religiosity is the last refuge of the worst Rogues and Scoundrels. Islam is not magic and not excepted, in fact, likely the last and biggest in modern era domination of secularity in all other religion.",{undertaker888}{23 June 2017}{3:29 pm} I rather be a kafir than be like him a brainless bigot.,"{Bigjoe}{24 June 2017}{11:48 am} The longer Najib is in power, the more dependent he is on the right-wingers of UMNO AND their co-horts in Hadi’s PAS. For Sarawak and Sabah, the longer Najib is in power, the more the attrition of their basic rights and their way of life.",,,
Challenge to Najib to nominate the UMNO/BN spokesman or spokesmen who will be responsible for all issues about 1MDB scandal and DOJ suits so that Malaysian voters can decide in the 14GE,06/22/17,2 Comments,"{Bigjoe}{23 June 2017}{4:59 am} Najib is clueless how to respond to his latest trouble. The RCI on BNM forex is targeted at Mahathir, the basic assumption is any sensationalism will damage Mahathir while casualty on Najib side is acceptable.","{SuperStringhg}{23 June 2017}{1:36 pm} BN needs to stick to their guns that 1MDB did no wrong, lost no money, commit no crimes and all negative news against 1MDB is primarily to bring down the government of Malaysia. Hence, United States, Switzerland, Luxemburg, Hong Kong, Singapore are guilty of such act. Even Saudi Arabia, since it did not help Malaysia to prove that the donation is from them using solid documents as evidence.",,,,,
Why no RCI into 1MDB scandal which has made Malaysia into “global kleptocracy” or even RCI into FGV scandal? Will there be RCI into Scorpene scandal?,06/22/17,4 Comments,"{good coolie}{22 June 2017}{12:32 pm} Hey, mana boleh RCI 1MDB? (masukkan kepala sendiri dalam jerat? Kalau RCI forex scandal, mungkin boleh jeratkan duri dalam daging itu, Mahatir. Kek, kek, kek!","{SuperStringhg}{22 June 2017}{1:02 pm} This is exactly why Lim Guan Eng got jailed for helping a malay girl while the perpetrator got scot-free. This is corruption, plain and simple!","{Bigjoe}{22 June 2017}{4:28 pm} It must have crossed someone’s head that Mahathir and PH will drum about RCI on 1MDB, Scorpene, Altantuya etc. Each political point they will score with RCI on Forex scandal will be met with many more, more recent ones of Najib.  How do they propose to gain political milleage?",{good coolie}{27 June 2017}{1:42 pm} Dulu kita makan setakat million-million sahaja. Sekarang kita makan berbillion-billion! I am salivating so much that I have to wipe my mouth with a handkerchief.,,,
Isa Samad should decline appointment as SPAD Chairman to end the fiasco of GLC musical chairs and start the  era of  appointment of the best man and not the PM’s closest crony to head GLCs,06/22/17,1 Comment,"{Bigjoe}{22 June 2017}{4:17 pm} In most normal jobs, if you messed up so royally once, your career is over. Isa Samad, like Najib, has messed up time and again throughout their career.  His move to SPAD proves, UMNO is hopelessly unreformable. ",,,,,,
Annuar Musa’s desperate and unabashed appeal to the primordial politics of religion confirmed my initial suspicion that Putrajaya had been very jittery and most hysterical about latest US DOJ kleptocratic action on forfeiture of US$1.7 billion 1MDB-linked assets,06/21/17,3 Comments,"{Bigjoe}{21 June 2017}{8:41 pm} Despite the Diplomat calling Najib unsinkable, each comment from his “posse” sounds desperate. Now they are ratcheting the Bank Negara forex scandal, clearly seeing their greatest threat is Mahathir.",{Bigjoe}{21 June 2017}{9:42 pm} Annuar Musa explained that his thesis of  non_Muslim/foreigner conspiracy to topple Muslim govt in Malaysia dates back his learning to Mahathir time. ,"{good coolie}{22 June 2017}{12:55 pm} Would the masked Lone Ranger come along again to give another 2.5 billion ringgit to Ah Mo1 to solve all his problems? Remember, Santa Claus himself is teetering because of the wretched oil price and much meddling in Yemen?",,,,
"Call on all religions in Malaysia to unite with common objective to make Malaysia the beacon and inspiration for the world as a showcase of multi-religious harmony, understanding, tolerance, solidarity and unity",06/21/17,1 Comment,"{bruno}{21 June 2017}{7:18 pm} People get desperate,jittery and hysterical especially when one’s crimes are out there in public for all to see.Even if names of very VVIP are not in blue,black or purple,they know the public know who they are.They have every reason to be hysterical.And every reason to check into a rehab center to escape the public scrutiny.",,,,,,
Is Malaysia a Kleptocracy?,06/21/17,1 Comment,"{SuperStringhg}{21 June 2017}{3:31 pm} A big shame to a country where its own judiciary can do nothing because its own investigative agencies sit idling by while the citizens of Malaysia put all their hopes for foreign investigative agencies to find out how much money have been stolen from them!!! Fifty years or more of Independence come to this, what a big shame.",,,,,,
Is Cabinet meeting tomorrow going to challenge US Department of Justice (DOJ) to forfeit Rosmah Mansor’s US$27.3 million pink diamond necklace?,06/20/17,3 Comments,"{Bigjoe}{21 June 2017}{4:10 am} The reason why DOJ is not attempting to get the ring is a few. Firstly, seizure of the ring is unlikely to be in executable jurisdiction. Filing for seizure would be sensational but add distraction on the issue of execution. Lastly, it would create unproductive diplomatic row. ","{good coolie}{22 June 2017}{1:07 pm} Return of the Pink Panther?
I vaguely recall an Indian beauty queen acting in one of the Pink Panther films. Young people don’t know that there was actually a cute pink-coloured panther in the original cartoons.","{undertaker888}{24 June 2017}{12:27 am} I have been saving money since the day I was born, and all I can afford is a 500rm gold plated ring.",,,,
Did Hadi complain to Najib that PAS was bullied by DAP in Pakatan Rakyat?,06/20/17,1 Comment,"{Bigjoe}{20 June 2017}{8:13 pm} It would be interesting exercise to ask Nhaveen killers, between UMNO/BN,  PAS and DAP, which one they identify with or look up to most?",,,,,,
Cabinet tomorrow must establish whether Najib’s “no more statements on DOJ” is  a “mea culpa” admission of the multi-billion dollar 1MDB kleptocratic money-laundering scandal,06/20/17,2 Comments,{Bigjoe}{20 June 2017}{5:43 pm} The sycophant are assured by title conferred by The Diplomat. Najib “the unsinkable” Razak gives them swagger like Nhaveen killers.,"{good coolie}{22 June 2017}{1:11 pm} “Catch-22” situation? Ah, but that is another film altogether!",,,,,
Billions’ Worth of Baubles Could Wind Up in U.S. Hands in 1MDB Case,06/20/17,1 Comment,{Bigjoe}{20 June 2017}{10:10 am} Malaysia can learn a thing or two from Venezuela about protest.,,,,,,
Why are the reactions of Najib crowd jitterier  and more hysterical than during the initial US DOJ kleptocratic forfeiture suit some eleven months ago?,06/19/17,4 Comments,"{bruno}{19 June 2017}{7:42 pm} This time the DOJ filing is more specific.Although it did not name names of very VVIP,it do not need need a genius or rocket scientist to figure it out,who are the recipients or main players.","{bruno}{19 June 2017}{7:49 pm} Maybe the DOJ can go after players like Jho Loh and other smaller fishes.Powerful politicians like MO1 is out of bounds.In fact not taking into account that the US of A is the world’s no 1 superpower,Donald Trump is no match to Najib in a gloves off no holds bar contest.Najib can kick Donald Trump under the bus anytime,anywhere.",{Bigjoe}{19 June 2017}{9:46 pm} The Najib sycophants are more hysterical but Najib is even more irritated determined not to say anything despite the fact Rosmah initial bull to up the ante against social media.,"{Bigjoe}{20 June 2017}{5:59 am} I put it to Najib, Hadi’s PAS DETEST HIM. They aim to take over UMNO from the inside, to be like them.",,,
"Call for a month of moratorium by Pakatan Harapan leaders from PKR, Bersatu, Amanah and DAP to avoid negative statements and background briefings which could be exploited to Pakatan Harapan’s detriment and to focus externally on positive and offensive developments",06/19/17,4 Comments,"{bruno}{19 June 2017}{8:04 am} The opposition should never bring up Anwar’s name for PM.Anwar is now a felon,and should be totally out of politics.To have his name up is to confuse the voters.Besides Anwar was never a good leader.",{bruno}{19 June 2017}{8:09 am} First the 1MDB fiasco and now the Felda scandal.Umno is trying to hand the coming GE to the opposition on a silver platter.What more do the opposition want?,"{Bigjoe}{19 June 2017}{3:14 pm} Najib nor UMNO/BN is repentent on ANYTHING. They just moved ISA SAMAD from FGV to Spad – Felda settlers protest scares them BUT urbanites, if their public transport cost them more or abused for crony benefits, Najib and UMNO do not care, so long as the warlord Isa Samad has his fiefdom to play with and his followers do not turn against Najib at our expense.","{good coolie}{20 June 2017}{11:14 pm} Yep, we don’t want to hear about Anwar again. When he is released, he can be given an amabassador-ship to some corner of the world. We don’t want the old doctor again (that’s the nicest I can be to him). And Najib knows what is best for the country (for the country, country!).",,,
The Legacy of Tun Razak’s Oldest Son,06/19/17,2 Comments,"{Bigjoe}{19 June 2017}{12:21 pm} I would not describe what Salleh Keruak, Rahman Dahlan and Hishamuddin respond to be “dismissive”. In fact, I believe it shows real panic and concern.","{SuperStringhg}{19 June 2017}{3:02 pm} Never in the History of Malaysia has ONE man, done So Much Shames to So Many!",,,,,
Did Apandi ask “wife of MO1” whether the account in updated DOJ kleptocratic suit to forfeit 1MDB-linked assets  (Para 847 – 863) about Jho Low’s gift of a US$27.3 million 22-carat pink diamond necklace” to “wife of MO1”  was true version of what happened in 2013/14 and where is now the 22-carat pink diamond necklace?,06/18/17,4 Comments,{bruno}{18 June 2017}{8:08 pm} Whatever is published in the DOJ website is whatever their investigations led to.No PR denial of this and that can work,{Bigjoe}{18 June 2017}{9:01 pm} It was only a few weeks ago the MACC chief arrogantly told off those who questioned his work when it comes to politicians especially 1MDB and Najib. Now he not only passes the buck but self- righteously so. It could not be more Orwellian “some pigs are more special than other pigs” moment.,{bruno}{19 June 2017}{1:05 am} Whatever is published in the DOJ website is whatever their investigations led.No PR denial of this excuse and that excuse can work.,"{bruno}{19 June 2017}{1:10 am} This coming Monday,lawyers are going to file papers to a judge in Brooklyn,NY,to demand papers from a Trump associate named Felix Sater.This Felix guy is an European gangster who holds a majority share in one of Trump’s Manhattan buildings.The lawyers are from NGO’s and the media,and being co-ordinated by a former ethics lawyer from the George w Bush WH,who is a Republican for thirty years.",,,
